,Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
"BETHEL AIRPORT, AK US (USW00026615)",9/1/1923,,65,42,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/2/1923,,64,50,0.2,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/3/1923,,62,41,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/4/1923,,59,42,0.1,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/5/1923,,60,46,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/6/1923,,60,48,0.4,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/7/1923,,58,44,0.4,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/8/1923,,55,42,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/9/1923,,56,42,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/10/1923,,60,47,0.5,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/11/1923,,62,50,0.2,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/12/1923,,59,48,0.1,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/13/1923,,58,42,0.5,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/14/1923,,53,43,0.1,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/15/1923,,50,43,0.2,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/16/1923,,48,35,0.8,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/17/1923,,48,30,0.1,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/18/1923,,48,39,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/19/1923,,50,44,0.2,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/20/1923,,49,42,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/21/1923,,48,40,0.1,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/22/1923,,46,36,0.1,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/23/1923,,47,36,0.4,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/24/1923,,47,40,0.2,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/25/1923,,42,32,0.1,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/26/1923,,40,24,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/27/1923,,42,26,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/28/1923,,40,30,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/29/1923,,36,30,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",9/30/1923,,36,21,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/1/1923,,32,20,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/2/1923,,31,25,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/3/1923,,32,25,0.02,0.4,
"BETHEL AIRPORT, AK US (USW00026615)",10/4/1923,,33,27,0.01,0.2,
"BETHEL AIRPORT, AK US (USW00026615)",10/5/1923,,38,31,0.03,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/6/1923,,36,32,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/7/1923,,42,25,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/8/1923,,38,32,0.02,0.2,
"BETHEL AIRPORT, AK US (USW00026615)",10/9/1923,,36,26,0.03,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/10/1923,,48,30,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/11/1923,,49,40,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/12/1923,,53,38,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/13/1923,,54,42,0.01,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/14/1923,,45,39,0.01,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/15/1923,,42,28,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/16/1923,,35,25,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/17/1923,,37,32,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/18/1923,,36,27,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/19/1923,,34,30,0.02,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/20/1923,,39,28,0.02,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/21/1923,,44,32,0.02,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/22/1923,,41,30,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/23/1923,,35,32,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/24/1923,,34,29,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/25/1923,,49,30,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/26/1923,,46,39,0.01,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/27/1923,,42,32,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/28/1923,,49,30,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/29/1923,,45,36,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/30/1923,,44,34,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",10/31/1923,,40,29,0.01,0,
"BETHEL AIRPORT, AK US (USW00026615)",11/1/1923,,37,30,0.01,0,
"BETHEL AIRPORT, AK US (USW00026615)",11/2/1923,,34,20,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",11/3/1923,,31,24,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",11/4/1923,,30,20,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",11/5/1923,,36,23,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",11/6/1923,,35,26,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",11/7/1923,,28,14,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",11/8/1923,,26,14,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",11/9/1923,,22,6,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",11/10/1923,,22,13,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",11/11/1923,,26,11,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",11/12/1923,,26,12,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",11/13/1923,,32,12,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",11/14/1923,,30,15,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",11/15/1923,,23,15,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",11/16/1923,,23,18,0.02,0.5,1
"BETHEL AIRPORT, AK US (USW00026615)",11/17/1923,,29,12,0.02,0.5,1
"BETHEL AIRPORT, AK US (USW00026615)",11/18/1923,,33,10,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",11/19/1923,,37,23,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",11/20/1923,,34,23,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",11/21/1923,,32,25,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",11/22/1923,,27,14,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",11/23/1923,,20,8,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",11/24/1923,,14,-2,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",11/25/1923,,10,-2,0.02,0.5,1
"BETHEL AIRPORT, AK US (USW00026615)",11/26/1923,,20,9,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",11/27/1923,,28,14,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",11/28/1923,,26,14,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",11/29/1923,,22,8,0.06,1.2,2
"BETHEL AIRPORT, AK US (USW00026615)",11/30/1923,,,-5,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",12/1/1923,,,-12,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",12/2/1923,,-7,-24,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",12/3/1923,,-6,-26,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",12/4/1923,,-8,-22,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",12/5/1923,,-5,-17,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",12/6/1923,,-4,-24,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",12/7/1923,,-5,-24,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",12/8/1923,,-12,-28,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",12/9/1923,,-14,-28,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",12/10/1923,,-8,-26,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",12/11/1923,,-5,-14,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",12/12/1923,,4,-9,0,0,2
"BETHEL AIRPORT, AK US (USW00026615)",12/13/1923,,12,0,0.02,1,2
"BETHEL AIRPORT, AK US (USW00026615)",12/14/1923,,10,3,0.04,1.5,3
"BETHEL AIRPORT, AK US (USW00026615)",12/15/1923,,11,-16,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",12/16/1923,,8,-18,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",12/17/1923,,22,5,0.04,1.5,4
"BETHEL AIRPORT, AK US (USW00026615)",12/18/1923,,16,,0,0,5
"BETHEL AIRPORT, AK US (USW00026615)",12/19/1923,,1,-10,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",12/20/1923,,5,-17,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",12/21/1923,,-2,-13,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",12/22/1923,,-7,-18,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",12/23/1923,,-5,-21,0,0,5
"BETHEL AIRPORT, AK US (USW00026615)",12/24/1923,,0,-31,0,0,5
"BETHEL AIRPORT, AK US (USW00026615)",12/25/1923,,,0,0.26,6,12
"BETHEL AIRPORT, AK US (USW00026615)",12/26/1923,,29,22,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",12/27/1923,,27,18,0.06,1.5,11
"BETHEL AIRPORT, AK US (USW00026615)",12/28/1923,,30,15,0.06,1.5,13
"BETHEL AIRPORT, AK US (USW00026615)",12/29/1923,,30,27,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",12/30/1923,,38,27,0,0,13
"BETHEL AIRPORT, AK US (USW00026615)",12/31/1923,,39,25,0.24,2,13
"BETHEL AIRPORT, AK US (USW00026615)",1/1/1924,,30,1,0.04,1,13
"BETHEL AIRPORT, AK US (USW00026615)",1/2/1924,,21,0,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",1/3/1924,,16,-5,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",1/4/1924,,23,-5,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",1/5/1924,,19,2,0,0,13
"BETHEL AIRPORT, AK US (USW00026615)",1/6/1924,,22,5,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",1/7/1924,,12,-8,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",1/8/1924,,7,-5,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",1/9/1924,,4,-8,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",1/10/1924,,34,-5,0.06,1.5,13
"BETHEL AIRPORT, AK US (USW00026615)",1/11/1924,,30,-12,0.08,2,
"BETHEL AIRPORT, AK US (USW00026615)",1/12/1924,,31,14,0.09,1.5,17
"BETHEL AIRPORT, AK US (USW00026615)",1/13/1924,,36,21,0.08,0.5,16
"BETHEL AIRPORT, AK US (USW00026615)",1/14/1924,,36,32,0.1,1,
"BETHEL AIRPORT, AK US (USW00026615)",1/15/1924,,35,20,0.02,0.5,17
"BETHEL AIRPORT, AK US (USW00026615)",1/16/1924,,34,12,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",1/17/1924,,24,-11,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",1/18/1924,,-4,-27,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",1/19/1924,,-11,-32,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",1/20/1924,,-23,-32,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",1/21/1924,,-20,-38,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",1/22/1924,,-12,-26,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",1/23/1924,,-5,-28,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",1/24/1924,,-4,-6,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",1/25/1924,,-1,-16,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",1/26/1924,,-10,-27,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",1/27/1924,,-16,-31,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",1/28/1924,,-17,-33,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",1/29/1924,,-8,-19,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",1/30/1924,,-6,-15,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",1/31/1924,,-3,-23,0,0,
"BETHEL AIRPORT, AK US (USW00026615)",2/1/1924,,-12,-31,,0,
"BETHEL AIRPORT, AK US (USW00026615)",2/2/1924,,-4,-20,,0,
"BETHEL AIRPORT, AK US (USW00026615)",2/3/1924,,-18,-34,,0,
"BETHEL AIRPORT, AK US (USW00026615)",2/4/1924,,-22,-30,,0,
"BETHEL AIRPORT, AK US (USW00026615)",2/5/1924,,-12,-28,,0,
"BETHEL AIRPORT, AK US (USW00026615)",2/6/1924,,-10,-29,,0,
"BETHEL AIRPORT, AK US (USW00026615)",2/7/1924,,-4,-23,,0,
"BETHEL AIRPORT, AK US (USW00026615)",2/8/1924,,-7,-15,,0,
"BETHEL AIRPORT, AK US (USW00026615)",2/9/1924,,-4,,,0,
"BETHEL AIRPORT, AK US (USW00026615)",2/10/1924,,-10,-24,,0,
"BETHEL AIRPORT, AK US (USW00026615)",2/11/1924,,-4,-30,,0,
"BETHEL AIRPORT, AK US (USW00026615)",2/12/1924,,16,-25,0.04,1,14
"BETHEL AIRPORT, AK US (USW00026615)",2/13/1924,,17,-2,,0,
"BETHEL AIRPORT, AK US (USW00026615)",2/14/1924,,21,4,,0,
"BETHEL AIRPORT, AK US (USW00026615)",2/15/1924,,21,,,0,
"BETHEL AIRPORT, AK US (USW00026615)",2/16/1924,,12,-5,,0,
"BETHEL AIRPORT, AK US (USW00026615)",2/17/1924,,11,-10,,0,
