Date,TAVG,TMAX,TMIN,PRCP,SNOW,SNWD
1988-03-18,73,,,,,
1988-03-19,72,,,,,
1988-03-20,74,,,,,
1988-03-21,74,,,,,
1988-03-22,68,,,,,
1988-03-23,65,,,,,
1988-03-24,68,,,,,
1988-03-25,62,,,,,
1988-03-26,72,,,,,
1988-03-27,73,,,,,
1988-03-28,72,,,,,
1988-03-29,71,,,,,
1988-03-30,74,,,,,
1988-03-31,73,,,,,
1988-04-01,73,,,,,
1988-04-02,75,,,,,
1988-04-03,74,,,,,
1988-04-04,75,,,,,
1988-04-05,75,,,,,
1988-04-06,70,,,,,
1988-04-07,75,,,,,
1988-04-08,72,,,,,
1988-04-09,72,73,,,,
1988-04-10,71,72,,,,
1988-04-11,72,73,,,,
1988-04-12,70,71,,,,
1989-03-24,78,,,,,
1989-03-25,78,,,,,
1989-03-26,76,,,,,
1989-03-27,77,,,,,
1989-03-28,47,,-1,,,
1989-03-29,5,23,-16,,,
1989-03-30,8,31,-15,,,
1989-03-31,-3,,-7,,,
1989-04-06,33,43,20,,,
1989-04-07,30,45,13,,,
1989-04-08,34,50,18,,,
1989-04-09,33,50,17,,,
1989-04-10,36,50,26,,,
1989-04-11,38,49,26,,,
1989-04-12,40,56,30,,,
1989-04-13,41,56,23,,,
1989-04-14,40,50,27,,,
1989-04-15,45,56,27,,,
1989-04-16,42,50,33,,,
1989-04-17,32,,,,,
1989-04-19,50,52,,,,
1989-04-20,39,49,31,,,
1989-04-21,34,43,28,,,
1989-04-22,39,51,26,,,
1989-04-23,46,57,34,,,
1989-04-24,48,57,36,,,
1989-04-25,45,54,38,,,
1989-04-26,43,51,35,,,
1989-04-27,42,54,32,,,
1989-04-28,51,62,39,,,
1989-04-29,50,62,34,,,
1989-04-30,50,64,32,,,
1989-05-01,52,64,33,,,
1989-05-02,44,51,35,,,
1989-05-03,49,59,34,,,
1989-05-04,43,47,36,,,
1989-05-05,41,54,29,,,
1989-05-06,46,57,31,,,
1989-05-07,50,61,35,,,
1989-05-08,38,44,31,,,
1989-05-09,34,38,30,,,
1989-05-10,37,45,28,,,
1989-05-11,37,47,28,,,
1989-05-12,40,50,25,,,
1989-05-13,47,56,37,,,
1989-05-14,49,59,36,,,
1989-05-15,48,56,44,,,
1989-05-16,44,51,33,,,
1989-05-17,47,60,28,,,
1989-05-18,53,62,37,,,
1989-05-19,51,59,43,,,
1989-05-20,57,65,46,,,
1989-05-21,49,57,42,,,
1989-05-22,41,45,37,,,
1989-05-23,45,51,37,,,
1989-05-24,51,65,39,,,
1989-05-25,56,69,38,,,
1989-05-26,56,70,42,,,
1989-05-27,58,70,40,,,
1989-05-28,60,71,44,,,
1989-05-29,61,72,49,,,
1989-05-30,61,73,45,,,
1989-05-31,59,71,45,,,
1989-06-01,54,64,42,,,
1989-06-02,59,68,38,,,
1989-06-03,64,75,47,,,
1989-06-04,62,70,54,,,
1989-06-05,58,64,50,,,
1989-06-06,56,63,47,,,
1989-06-07,58,70,39,,,
1989-06-08,61,72,45,,,
1989-06-09,60,70,47,,,
1989-06-10,63,74,49,,,
1989-06-11,59,67,50,,,
1989-06-12,63,70,44,,,
1989-06-13,69,79,52,,,
1989-06-14,63,67,56,,,
1989-06-15,59,69,48,,,
1989-06-16,60,70,45,,,
1989-06-17,56,67,45,,,
1989-06-18,58,67,49,,,
1989-06-19,49,,45,,,
1989-06-20,74,81,,,,
1989-06-21,68,79,56,,,
1989-06-22,67,75,54,,,
1989-06-23,65,72,57,,,
1989-06-24,54,62,50,,,
1989-06-25,53,58,50,,,
1989-06-26,63,74,54,,,
1989-06-27,59,65,54,,,
1989-06-28,,,52,,,
1989-06-29,,,65,,,
1989-06-30,66,82,55,,,
1989-07-01,64,73,54,,,
1989-07-02,64,75,45,,,
1989-07-03,69,83,49,,,
1989-07-04,68,82,54,,,
1989-07-05,72,83,55,,,
1989-07-06,72,83,59,,,
1989-07-07,75,86,57,,,
1989-07-08,74,88,58,,,
1989-07-09,73,80,60,,,
1989-07-10,71,80,59,,,
1989-07-11,68,77,59,,,
1989-07-12,68,79,59,,,
1989-07-13,69,80,55,,,
1989-07-14,71,80,57,,,
1989-07-15,66,75,58,,,
1989-07-16,57,65,47,,,
1989-07-17,51,60,45,,,
1989-07-18,64,78,47,,,
1989-07-19,60,64,58,,,
1989-07-20,61,68,56,,,
1989-07-21,61,66,51,,,
1989-07-22,60,73,47,,,
1989-07-23,61,71,49,,,
1989-07-24,59,68,50,,,
1989-07-25,61,72,45,,,
1989-07-26,56,60,53,,,
1989-07-27,58,68,47,,,
1989-07-28,65,81,45,,,
1989-07-29,69,79,53,,,
1989-07-30,67,76,60,,,
1989-07-31,62,72,56,,,
1989-08-01,61,69,54,,,
1989-08-02,60,70,53,,,
1989-08-03,62,71,52,,,
1989-08-04,57,66,48,,,
1989-08-05,61,67,56,,,
1989-08-06,69,80,59,,,
1989-08-07,68,77,57,,,
1989-08-08,64,77,49,,,
1989-08-09,64,76,49,,,
1989-08-10,62,71,55,,,
1989-08-11,65,79,51,,,
1989-08-12,66,79,56,,,
1989-08-13,57,65,51,,,
1989-08-14,57,67,43,,,
1989-08-15,58,72,42,,,
1989-08-16,61,77,45,,,
1989-08-17,60,77,47,,,
1989-08-18,64,76,51,,,
1989-08-19,59,67,51,,,
1989-08-20,55,61,50,,,
1989-08-21,54,68,41,,,
1989-08-22,60,76,42,,,
1989-08-23,61,76,47,,,
1989-08-24,62,71,51,,,
1989-08-25,63,72,53,,,
1989-08-26,61,68,55,,,
1989-08-27,62,76,53,,,
1989-08-28,55,56,54,,,
1989-09-07,63,71,53,,,
1989-09-08,61,75,48,,,
1989-09-09,61,71,49,,,
1989-09-10,61,72,49,,,
1989-09-11,53,60,47,,,
1989-09-12,54,65,45,,,
1989-09-13,48,54,41,,,
1989-09-14,45,51,35,,,
1989-09-15,39,49,30,,,
1989-09-16,37,53,24,,,
1989-09-17,41,56,30,,,
1989-09-18,41,55,25,,,
1989-09-19,41,53,30,,,
1989-09-20,35,40,31,,,
1989-10-20,29,35,23,,,
1989-10-21,16,23,5,,,
1989-10-22,5,17,-8,,,
1989-10-23,17,23,7,,,
1989-10-24,24,29,13,,,
1989-10-25,12,16,10,,,
1989-10-26,8,18,0,,,
1989-10-27,7,16,-3,,,
1989-10-28,16,22,12,,,
1989-10-29,13,15,5,,,
1989-10-30,5,16,-4,,,
1989-10-31,7,12,1,,,
1989-11-01,11,21,2,,,
1989-11-02,12,16,2,,,
1989-11-03,16,17,13,,,
1989-11-04,20,23,16,,,
1989-11-05,9,21,0,,,
