"NOME AIRPORT, AK US (USW00026617)",,,,,,
Date,TAVG,TMAX,TMIN,PRCP,SNOW,SNWD
10/01/1906,,,,0,0,
10/02/1906,,,,0,0,
10/03/1906,,,,0,0,
10/04/1906,,,,0,0,
10/05/1906,,,,0.14,0,
10/06/1906,,,,0,0,
10/07/1906,,,,0,0,
10/08/1906,,,,0,0,
10/09/1906,,,,0.13,0,
10/10/1906,,,,0,0,
10/11/1906,,,,0,0,
10/12/1906,,,,0,0,
10/13/1906,,,,0,0,
10/14/1906,,,,0.09,0.9,
10/15/1906,,,,0,0,
10/16/1906,,,,0,0,
10/17/1906,,,,0,0,
10/18/1906,,,,0,0,
10/19/1906,,,,0,0,
10/20/1906,,,,0,0,
10/21/1906,,,,0,0,
10/22/1906,,,,0,0,
10/23/1906,,,,0,0,
10/24/1906,,,,0,0,
10/25/1906,,,,0,0,
10/26/1906,,,,0.23,2.3,
10/27/1906,,,,0.34,3.4,
10/28/1906,,,,0,0,
10/29/1906,,,,0,0,
10/30/1906,,,,0,0,
10/31/1906,,,,0,0,
11/01/1906,,,,0.2,2,
11/02/1906,,,,0.12,1.2,
11/03/1906,,,,0,0,
11/04/1906,,,,0,0,
11/05/1906,,,,0,0,
11/06/1906,,,,0,0,
11/07/1906,,,,0,0,
11/08/1906,,,,0,0,
11/09/1906,,,,0,0,
11/10/1906,,,,0,0,
11/11/1906,,,,0,0,
11/12/1906,,,,0,0,
11/13/1906,,,,0,0,
11/14/1906,,,,0,0,
11/15/1906,,,,0,0,
11/16/1906,,,,0,0,
11/17/1906,,,,0,0,
11/18/1906,,,,0,0,
11/19/1906,,,,0,0,
11/20/1906,,,,0,0,
11/21/1906,,,,0,0,
11/22/1906,,,,0,0,
11/23/1906,,,,0,0,
11/24/1906,,,,0,0,
11/25/1906,,,,0,0,
11/26/1906,,,,0.15,2,
11/27/1906,,,,0,0,
11/28/1906,,,,0,0,
11/29/1906,,,,0,0,
11/30/1906,,,,0,0,
12/01/1906,,1,,,,
12/02/1906,,12,-8,,,
12/03/1906,,12,-8,,,
12/04/1906,,4,-8,,,
12/05/1906,,5,-9,,,
12/06/1906,,9,1,,,
12/07/1906,,10,-8,0.17,2,
12/08/1906,,6,-7,,,
12/09/1906,,3,-13,,,
12/10/1906,,3,-4,,,
12/11/1906,,9,-15,,,
12/12/1906,,16,-4,,,
12/13/1906,,14,-7,,,
12/14/1906,,12,-6,,,
12/15/1906,,23,11,,,2
12/16/1906,,28,18,,,
12/17/1906,,29,4,,,
12/18/1906,,13,4,,,
12/19/1906,,10,-3,,,
12/20/1906,,7,-8,,,
12/21/1906,,3,-11,,,
12/22/1906,,4,0,,,
12/23/1906,,5,-7,,,
12/24/1906,,15,5,0.74,5.5,
12/25/1906,,27,13,0.24,,
12/26/1906,,28,8,0.08,1,
12/27/1906,,15,2,,0,
12/28/1906,,17,-3,,,
12/29/1906,,21,17,0.38,5,
12/30/1906,,23,17,,,
12/31/1906,,29,22,0.3,4.5,11
01/01/1907,,33,14,,0,11
01/02/1907,,33,26,0.13,1.2,
01/03/1907,,27,1,,0,
01/04/1907,,32,19,0.4,3.6,
01/05/1907,,20,11,,0,
01/06/1907,,32,18,0.95,6,
01/07/1907,,33,16,,0,
01/08/1907,,24,-1,,0,
01/09/1907,,1,-17,,0,
01/10/1907,,19,-11,0.23,1.6,
01/11/1907,,24,17,,0,
01/12/1907,,31,19,,0,
01/13/1907,,32,16,,0.5,
01/14/1907,,25,12,0.26,5.3,
01/15/1907,,23,9,,4,16
01/16/1907,,9,-10,,0,
01/17/1907,,6,-21,,0,
01/18/1907,,-16,-24,,0,
01/19/1907,,7,-19,,0,
01/20/1907,,19,4,0.32,3,
01/21/1907,,20,3,,0,
01/22/1907,,14,-11,,0,
01/23/1907,,32,14,,0,
01/24/1907,,24,19,,0,
01/25/1907,,26,21,,0,
01/26/1907,,22,6,,0,
01/27/1907,,23,4,,0,
01/28/1907,,18,3,,0,
01/29/1907,,9,0,,0,
01/30/1907,,3,-2,,0,
01/31/1907,,5,-5,,0,16
02/01/1907,,16,1,,,15
02/02/1907,,4,-6,,,
02/03/1907,,1,-12,,,
02/04/1907,,9,-13,,,
02/05/1907,,-5,-18,,,
02/06/1907,,-5,-22,,,
02/07/1907,,3,-6,,,
02/08/1907,,-3,-17,,,
02/09/1907,,-8,-22,,,
02/10/1907,,-3,-23,,,
02/11/1907,,-9,-19,,,
02/12/1907,,-19,-31,,,
02/13/1907,,-13,-28,,,
02/14/1907,,-13,-26,,,
02/15/1907,,-24,-31,,,16
02/16/1907,,-15,-29,,,
02/17/1907,,-12,-25,,,
02/18/1907,,-14,-31,,,
02/19/1907,,-9,-22,,,
02/20/1907,,-16,-29,,,
02/21/1907,,-9,-27,,,
02/22/1907,,-2,-10,,,
02/23/1907,,2,-5,,,
02/24/1907,,23,2,0.56,4.5,
02/25/1907,,28,22,0.3,3,
02/26/1907,,31,18,0.41,3.6,
02/27/1907,,23,12,0.04,0.5,
02/28/1907,,18,-5,0.15,2.3,22
03/01/1907,,19,0,,0,22
03/02/1907,,16,-13,,0,
03/03/1907,,26,15,0.52,4.2,
03/04/1907,,28,20,,0,
03/05/1907,,26,20,0.13,1.1,
03/06/1907,,24,17,,0,
03/07/1907,,33,24,0.36,3,
03/08/1907,,32,20,,0,
03/09/1907,,29,22,,0,
03/10/1907,,33,26,0.87,7.5,
03/11/1907,,33,25,,0,
03/12/1907,,29,14,,0,
03/13/1907,,17,-3,,0,
03/14/1907,,1,-10,,0,
03/15/1907,,1,-11,,0,26
03/16/1907,,10,-18,,0,
03/17/1907,,21,9,0.57,5.5,
03/18/1907,,33,4,0.09,1,
03/19/1907,,4,-14,,0,
03/20/1907,,-1,-17,,0,
03/21/1907,,-8,-23,,0,
03/22/1907,,-12,-26,,0,
03/23/1907,,-1,-26,,0,
03/24/1907,,33,-1,0.75,5.7,
03/25/1907,,32,-12,0.08,0.8,
03/26/1907,,0,-16,,0,
