Date,TAVG,TMAX,TMIN,PRCP,SNOW,SNWD
1988-07-01,59,63,54,,,
1988-07-02,60,68,52,,,
1988-07-03,60,67,52,,,
1988-07-04,58,67,47,,,
1988-07-05,58,69,42,,,
1988-07-06,58,68,50,,,
1988-07-07,58,67,50,,,
1988-07-08,52,56,47,,,
1988-07-09,53,59,46,,,
1988-07-10,56,66,50,,,
1988-07-11,60,68,50,,,
1988-07-12,62,72,52,,,
1988-07-13,65,73,58,,,
1988-07-14,64,76,56,,,
1988-07-15,63,73,51,,,
1988-07-16,65,70,59,,,
1988-07-17,61,66,56,,,
1988-07-18,52,56,50,,,
1988-07-19,57,68,52,,,
1988-07-20,55,65,48,,,
1988-07-21,46,54,37,,,
1988-07-22,42,53,34,,,
1988-07-23,49,59,37,,,
1988-07-24,54,61,43,,,
1988-07-25,59,67,49,,,
1988-07-26,57,64,51,,,
1988-07-27,60,69,50,,,
1988-07-28,61,70,53,,,
1988-07-29,62,70,52,,,
1988-07-30,57,65,48,,,
1988-07-31,54,59,49,,,
1988-08-01,58,65,51,,,
1988-08-02,56,63,50,,,
1988-08-03,53,59,47,,,
1988-08-04,50,61,35,,,
1988-08-05,57,67,46,,,
1988-08-06,60,70,50,,,
1988-08-07,56,60,52,,,
1988-08-08,49,54,37,,,
1988-08-09,39,47,32,,,
1988-08-10,51,62,36,,,
1988-08-11,50,56,45,,,
1988-08-12,46,50,43,,,
1988-08-13,46,54,41,,,
1988-08-14,48,55,43,,,
1988-08-15,51,59,46,,,
1988-08-16,,,5,,,
1988-08-17,68,78,54,,,
1988-08-18,64,73,54,,,
1988-08-19,50,55,47,,,
1988-08-20,52,62,43,,,
1988-08-21,54,61,47,,,
1988-08-22,50,56,47,,,
1988-08-23,47,52,43,,,
1988-08-24,47,55,40,,,
1988-08-25,51,62,41,,,
1988-08-26,56,67,44,,,
1988-08-27,53,58,47,,,
1988-08-28,48,53,45,,,
1988-08-29,51,58,47,,,
1988-08-30,36,48,31,,,
1988-08-31,32,40,27,,,
1988-09-01,31,39,25,,,
1988-09-02,41,50,31,,,
1988-09-03,49,58,39,,,
1988-09-04,49,56,40,,,
