,Date,TAVG,TMAX,TMIN,PRCP,SNOW,SNWD
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/31/2005,-36,-33,-37,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",10/31/2007,14,15,13,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/01/2007,11,14,6,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/02/2007,16,19,13,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/03/2007,11,18,2,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/04/2007,-3,4,-19,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/05/2007,3,8,-18,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/06/2007,2,7,-6,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/07/2007,2,6,0,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/08/2007,-4,0,-12,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/09/2007,6,15,-9,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/10/2007,-1,8,-5,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/11/2007,6,10,-8,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/12/2007,-8,-4,-12,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/13/2007,-14,-8,-18,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/14/2007,-4,7,-18,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/15/2007,3,6,-2,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/16/2007,2,4,0,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/17/2007,1,5,-9,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/18/2007,2,6,-5,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/19/2007,0,6,-9,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/20/2007,3,15,-3,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/21/2007,10,14,-2,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/22/2007,-5,,-8,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/23/2007,13,20,,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/24/2007,19,21,16,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/25/2007,2,21,-10,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/26/2007,-14,-11,-20,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/27/2007,-15,-12,-18,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/28/2007,-16,-12,-20,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/29/2007,-14,-4,-19,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",11/30/2007,1,8,-8,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/01/2007,-3,5,-8,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/02/2007,-1,9,-9,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/03/2007,-18,-6,-30,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/04/2007,-11,1,-20,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/05/2007,-17,-14,-20,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/06/2007,3,23,-19,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/07/2007,17,22,10,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/08/2007,5,14,-4,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/09/2007,8,11,3,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/10/2007,-1,9,-9,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/11/2007,2,11,-8,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/12/2007,9,20,1,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/13/2007,9,20,-1,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/14/2007,-5,3,-12,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/15/2007,-1,7,-12,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/16/2007,-11,-5,-18,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/17/2007,-25,-12,-38,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/18/2007,-40,-35,-43,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/19/2007,-45,-43,-47,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/20/2007,-44,-38,-49,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/21/2007,-43,-30,-51,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/22/2007,-36,-32,-38,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/23/2007,-34,-31,-36,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/24/2007,-19,-14,-30,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/25/2007,-8,-4,-14,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/26/2007,-16,-3,-31,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/27/2007,-28,-16,-34,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/28/2007,-9,-5,-15,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/29/2007,-10,-4,-23,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/30/2007,-10,-8,-18,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",12/31/2007,-10,-9,-11,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/01/2008,-9,-5,-13,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/02/2008,-3,-2,-5,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/03/2008,-7,-3,,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/04/2008,-24,,-29,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/05/2008,-23,-21,-27,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/06/2008,-32,-27,-35,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/07/2008,-39,-31,-45,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/08/2008,-41,-39,-44,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/09/2008,-39,-34,-45,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/10/2008,-36,-32,-42,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/11/2008,-39,-35,-46,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/12/2008,-52,-46,-55,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/13/2008,-48,-36,-54,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/14/2008,-47,-40,-54,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/15/2008,-51,,-57,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/16/2008,-29,-18,,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/17/2008,-17,-13,-22,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/18/2008,-18,-15,-21,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/19/2008,13,39,-17,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/20/2008,33,41,21,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/21/2008,9,20,0,,,
"UMIAT AIRFIELD ALASKA, AK US (USR0000AUMI)",01/22/2008,28,34,,,,
